standby,3
following,3.9893
speedcontrol,3.9906
error,2
hold,3.9911
override,2
standby,3
following,3.9893
speedcontrol,3.9906
error,2
hold,3.9911
override,2
standby,13
following,13.9905
speedcontrol,13.9901
error,12
hold,13.9904
override,12
standby,13
following,13.9905
speedcontrol,13.9901
error,12
hold,13.9904
override,12
standby,13
following,13.9905
speedcontrol,13.9901
error,12
hold,13.9904
override,12
standby,13
following,13.9905
speedcontrol,13.9901
error,12
hold,13.9904
override,12
standby,13
following,13.9892
speedcontrol,13.9901
error,12
hold,13.989
override,12
standby,12.6688
following,13.9895
speedcontrol,13.9913
error,12
hold,12.6581
override,12
